loan_status,loan_amount,loan_term,interest_rate,grade,purpose,employment_length,annual_income
default,11875.0,60.0,12.69,b,debt_consolidation,1.0,25920.0
fully paid,5000.0,36.0,6.03,a,home_improvement,9.0,54000.0
fully paid,33541.207,36.0,8.9,a,debt_consolidation,5.0,85000.0
fully paid,18000.0,36.0,8.9,a,credit_card,5.0,78000.0
default,14000.0,36.0,7.9,a,debt_consolidation,10.0,45600.0
fully paid,5000.0,36.0,12.42,b,debt_consolidation,2.0,70000.0
fully paid,8000.0,36.0,15.96,c,credit_card,4.0,70000.0
fully paid,10000.0,36.0,6.03,a,debt_consolidation,9.0,80000.0
fully paid,10000.0,36.0,7.51,a,debt_consolidation,5.0,50000.0
fully paid,12000.0,36.0,12.42,b,debt_consolidation,10.0,35000.0
fully paid,23200.0,36.0,7.9,a,debt_consolidation,3.0,65000.0
default,18000.0,60.0,15.27,c,credit_card,1.0,84000.0
fully paid,4800.0,36.0,15.27,c,debt_consolidation,10.0,75000.0
fully paid,7300.0,36.0,11.71,b,debt_consolidation,6.0,35000.0
fully paid,6600.0,36.0,9.91,b,house,1.0,100000.0
fully paid,12000.0,36.0,8.9,a,debt_consolidation,7.0,40000.0
fully paid,13250.0,36.0,17.27,d,debt_consolidation,10.0,52000.0
fully paid,12000.0,36.0,11.71,b,debt_consolidation,3.0,92500.0
fully paid,25000.0,36.0,9.91,b,debt_consolidation,9.0,61000.0
fully paid,6000.0,36.0,10.65,b,other,10.0,36000.0
fully paid,12000.0,36.0,7.51,a,credit_card,10.0,68000.0
fully paid,14400.0,36.0,11.71,b,credit_card,1.0,80000.0
fully paid,10000.0,36.0,12.42,b,credit_card,10.0,43000.0
fully paid,8000.0,36.0,11.71,b,credit_card,1.0,150000.0
default,8000.0,36.0,16.29,d,credit_card,5.0,50000.0
default,18000.0,60.0,16.77,d,home_improvement,6.0,40000.0
fully paid,13250.0,36.0,11.71,b,credit_card,2.0,35000.0
fully paid,14000.0,36.0,14.27,c,debt_consolidation,6.0,80000.0
default,20000.0,60.0,20.3,e,debt_consolidation,10.0,59000.0
fully paid,10000.0,36.0,16.29,d,credit_card,10.0,40000.0
fully paid,33541.207,60.0,20.3,e,debt_consolidation,5.0,85000.0
fully paid,4000.0,36.0,6.03,a,debt_consolidation,1.0,55000.0
fully paid,13000.0,36.0,9.91,b,debt_consolidation,6.0,110000.0
fully paid,28000.0,36.0,12.69,b,credit_card,5.0,100000.0
fully paid,10000.0,36.0,13.49,c,debt_consolidation,3.0,62000.0
fully paid,20000.0,36.0,7.9,a,debt_consolidation,1.0,45000.0
fully paid,18000.0,36.0,9.91,b,debt_consolidation,5.0,110000.0
default,9000.0,60.0,19.91,e,credit_card,3.0,60000.0
default,25000.0,60.0,18.64,e,debt_consolidation,10.0,61500.0
fully paid,10000.0,36.0,11.71,b,other,3.0,33000.0
fully paid,4200.0,36.0,6.03,a,credit_card,3.0,61000.0
default,20000.0,60.0,15.27,c,debt_consolidation,10.0,78216.0
default,18000.0,60.0,17.27,d,debt_consolidation,1.0,62000.0
fully paid,24000.0,36.0,16.29,d,debt_consolidation,2.0,50964.0
fully paid,4475.0,36.0,15.27,c,credit_card,3.0,43680.0
default,20000.0,60.0,14.65,c,credit_card,2.0,56000.0
fully paid,12000.0,36.0,12.42,b,credit_card,5.0,50700.0
default,5000.0,36.0,12.42,b,debt_consolidation,2.0,30000.0
fully paid,3000.0,36.0,6.03,a,other,5.0,50000.0
default,25000.0,60.0,19.03,e,debt_consolidation,10.0,75000.0
default,18000.0,60.0,19.03,e,credit_card,3.0,90000.0
default,12000.0,36.0,9.91,b,debt_consolidation,10.0,55000.0
fully paid,20000.0,36.0,15.27,c,other,10.0,50000.0
fully paid,10000.0,36.0,13.49,c,debt_consolidation,3.0,84000.0
fully paid,15000.0,36.0,12.42,b,debt_consolidation,6.0,155000.0
fully paid,12000.0,36.0,7.9,a,debt_consolidation,1.0,62000.0
default,20000.0,60.0,10.65,b,debt_consolidation,2.0,175000.0
fully paid,6300.0,36.0,11.71,b,credit_card,2.0,30000.0
default,20000.0,60.0,16.77,d,credit_card,7.0,50000.0
fully paid,33541.207,60.0,17.27,d,debt_consolidation,8.0,208000.0
fully paid,8250.0,60.0,15.96,c,home_improvement,2.0,35004.0
default,20000.0,60.0,12.69,b,home_improvement,7.0,85000.0
default,10000.0,36.0,11.71,b,credit_card,5.0,32000.0
default,24000.0,36.0,8.9,a,car,10.0,116400.0
fully paid,14400.0,36.0,12.69,b,debt_consolidation,9.0,40000.0
fully paid,6000.0,36.0,14.65,c,credit_card,7.0,34000.0
fully paid,22000.0,36.0,15.96,c,debt_consolidation,5.0,73000.0
default,12000.0,36.0,11.71,b,debt_consolidation,10.0,57200.0
fully paid,16000.0,36.0,16.77,d,debt_consolidation,1.0,114000.0
fully paid,10000.0,36.0,10.65,b,debt_consolidation,10.0,90000.0
fully paid,16000.0,60.0,19.03,e,home_improvement,8.0,54000.0
default,10000.0,36.0,12.69,b,debt_consolidation,2.0,35000.0
fully paid,3500.0,36.0,13.49,c,debt_consolidation,7.0,56000.0
fully paid,9600.0,36.0,9.91,b,debt_consolidation,5.0,35000.0
fully paid,9875.0,36.0,7.9,a,debt_consolidation,10.0,40000.0
fully paid,21500.0,60.0,17.58,d,debt_consolidation,2.0,59000.0
fully paid,4800.0,36.0,7.9,a,debt_consolidation,6.0,48000.0
fully paid,7800.0,36.0,6.03,a,major_purchase,10.0,85000.0
fully paid,20000.0,36.0,14.27,c,credit_card,10.0,70000.0
default,9750.0,36.0,7.51,a,debt_consolidation,4.0,35000.0
fully paid,18000.0,60.0,15.96,c,credit_card,6.0,91000.0
fully paid,5000.0,36.0,6.03,a,other,9.0,30000.0
fully paid,9000.0,36.0,14.65,c,debt_consolidation,4.0,45000.0
fully paid,7200.0,36.0,7.9,a,debt_consolidation,1.0,55000.0
default,3000.0,60.0,19.03,e,other,3.0,53004.0
default,25000.0,60.0,19.42,e,credit_card,10.0,60000.0
fully paid,25000.0,36.0,15.27,c,debt_consolidation,8.0,82000.0
fully paid,10000.0,36.0,15.96,c,debt_consolidation,10.0,53000.0
default,8875.0,36.0,12.69,b,debt_consolidation,5.0,35360.0
fully paid,15550.0,36.0,11.71,b,debt_consolidation,10.0,54000.0
default,17000.0,60.0,15.27,c,debt_consolidation,8.0,65000.0
fully paid,7500.0,36.0,12.69,b,credit_card,5.0,65000.0
fully paid,8875.0,36.0,8.9,a,debt_consolidation,6.0,28800.0
fully paid,4500.0,36.0,17.27,d,credit_card,1.0,42000.0
fully paid,5800.0,36.0,12.42,b,debt_consolidation,3.0,36000.0
fully paid,10000.0,36.0,11.71,b,debt_consolidation,2.0,40000.0
fully paid,10000.0,36.0,9.91,b,credit_card,4.0,50000.0
fully paid,14000.0,36.0,11.71,b,credit_card,1.0,52000.0
fully paid,25000.0,60.0,19.03,e,credit_card,3.0,85000.0
default,12000.0,36.0,8.9,a,debt_consolidation,3.0,32000.0
fully paid,24000.0,36.0,7.9,a,debt_consolidation,6.0,75000.0
fully paid,14000.0,36.0,14.27,c,credit_card,1.0,80000.0
fully paid,12000.0,36.0,8.9,a,credit_card,7.0,40246.0
default,15000.0,60.0,12.69,b,debt_consolidation,3.0,30000.0
default,8050.0,36.0,12.69,b,debt_consolidation,1.0,36000.0
fully paid,5600.0,36.0,10.65,b,debt_consolidation,6.0,60000.0
fully paid,7500.0,36.0,9.91,b,credit_card,3.0,31200.0
fully paid,7000.0,36.0,11.71,b,credit_card,10.0,90000.0
fully paid,5400.0,36.0,7.9,a,debt_consolidation,4.0,40000.0
fully paid,16000.0,36.0,12.42,b,credit_card,1.0,90000.0
fully paid,33541.207,60.0,12.42,b,home_improvement,9.0,105000.0
default,6000.0,60.0,7.9,a,debt_consolidation,1.0,30084.0
fully paid,4125.0,60.0,12.69,b,car,10.0,36000.0
fully paid,9800.0,36.0,16.29,d,credit_card,4.0,67000.0
fully paid,15700.0,60.0,18.25,d,debt_consolidation,10.0,63000.0
fully paid,5000.0,36.0,6.62,a,debt_consolidation,1.0,261825.31
fully paid,9900.0,36.0,11.71,b,debt_consolidation,6.0,26400.0
fully paid,15000.0,36.0,11.71,b,debt_consolidation,3.0,68400.0
fully paid,6250.0,36.0,15.96,c,debt_consolidation,1.0,29120.0
fully paid,6400.0,36.0,16.29,d,debt_consolidation,1.0,29120.0
fully paid,8850.0,60.0,13.49,c,major_purchase,10.0,89122.0
fully paid,12000.0,36.0,15.27,c,debt_consolidation,4.0,54000.0
fully paid,15000.0,36.0,8.9,a,debt_consolidation,5.0,30000.0
fully paid,6500.0,36.0,14.27,c,credit_card,4.0,30000.0
fully paid,8000.0,36.0,15.96,c,credit_card,10.0,50000.0
fully paid,30000.0,60.0,21.28,f,home_improvement,6.0,92000.0
fully paid,15000.0,36.0,14.65,c,credit_card,10.0,100500.0
fully paid,10200.0,36.0,14.27,c,debt_consolidation,3.0,40000.0
fully paid,9000.0,36.0,12.42,b,credit_card,5.0,47000.0
fully paid,6500.0,36.0,16.29,d,debt_consolidation,3.0,68000.0
fully paid,23000.0,60.0,21.28,f,debt_consolidation,8.0,95000.0
fully paid,2000.0,36.0,7.9,a,credit_card,4.0,39600.0
fully paid,8000.0,36.0,13.49,c,debt_consolidation,3.0,30000.0
fully paid,8875.0,36.0,7.51,a,debt_consolidation,1.0,30000.0
default,1500.0,36.0,18.64,e,other,1.0,17000.0
fully paid,8000.0,36.0,12.42,b,debt_consolidation,3.0,42000.0
default,20000.0,60.0,14.65,c,debt_consolidation,10.0,75000.0
fully paid,6500.0,36.0,11.71,b,credit_card,4.0,42000.0
fully paid,9600.0,36.0,13.49,c,debt_consolidation,3.0,27000.0
default,25975.0,60.0,12.69,b,debt_consolidation,10.0,130000.0
fully paid,10000.0,36.0,7.9,a,home_improvement,5.0,46000.0
